case,kind,payoff,strikeBps,replications,ordinaryMean,pairedMean,ordinaryVariance,pairedVariance,varianceRatio,varianceRatioCI95,ordinaryGas,pairedGas,varianceTimesGasGain,ordinaryReportedSeRms,pairedReportedSeRms,ordinarySpreadOverReported,pairedSpreadOverReported,pairedMinusOrdinaryMean,differenceSe,meanDifferenceZ,ordinaryZeroSeCount,pairedZeroSeCount,sourceSha256
AMD,recorded feed,call,9800,256,11.810278969729104,11.836249854199316,0.6824427264874908,0.07489465144783454,9.112035549865992,"[6.878909683894153, 12.179907002398634]",37630568,26205376,13.084760675734994,0.7818959167965448,0.279104092135864,1.0565356591751622,0.9805261893769459,0.025970884470213444,0.051654919927602565,0.5027765894635629,0,0,cbc349a567602b5f84dbe496fabbf2e1be8ada016fc539ea620441ff1d4f73d2
AMD,recorded feed,call,10000,256,3.7384081042091704,3.7328600740441225,0.3020300623595403,0.18705299074309445,1.614676467666639,"[1.24051094517046, 2.105438930110411]",37630568,26205376,2.3186537225998687,0.5467343095363112,0.43566262460697497,1.0051913851517875,0.9927320078161327,-0.005548030165048193,0.03580785102163628,-0.1549389311772966,0,0,cbc349a567602b5f84dbe496fabbf2e1be8ada016fc539ea620441ff1d4f73d2
AMD,recorded feed,call,10200,256,0.7137797283511536,0.7010873891448828,0.08120261350104133,0.07297237971280114,1.1127856021775921,"[0.8292800136215914, 1.4943745152365973]",37630568,26205376,1.5979451801097924,0.2810097375447964,0.27674767912083653,1.0140599582905898,0.9761021451376753,-0.012692339206270886,0.01880769612211878,-0.6748481644885823,0,0,cbc349a567602b5f84dbe496fabbf2e1be8ada016fc539ea620441ff1d4f73d2
AMD,recorded feed,put,9800,256,0.6805384918443418,0.6515558955482375,0.08899901444400657,0.05929090750821985,1.5010567080908335,"[1.0524650929335968, 2.163840023471084]",37630568,26205376,2.1554972737528457,0.2854796581101564,0.25107777588256297,1.0450027437269855,0.9698080304871525,-0.028982596296104425,0.01852270222917797,-1.5647067008640596,0,0,cbc349a567602b5f84dbe496fabbf2e1be8ada016fc539ea620441ff1d4f73d2
AMD,recorded feed,put,10000,256,3.7971566263244094,3.736655115393044,0.3534124109262966,0.1664893297088156,2.1227330997392047,"[1.6752831071606231, 2.697722490249776]",37630568,26205376,3.0482162230981507,0.545779566388637,0.4110277632922323,1.0892401126670173,0.9927091952642,-0.060501510931365944,0.03545491952484244,-1.706434868339609,0,0,cbc349a567602b5f84dbe496fabbf2e1be8ada016fc539ea620441ff1d4f73d2
AMD,recorded feed,put,10200,256,11.96101725046639,11.893371430493804,0.6743108356693931,0.05791969604181706,11.642168066326725,"[8.87851657387472, 15.328952921897677]",37630568,26205376,16.71799698990529,0.7785508537509067,0.24942829414440662,1.054734335128349,0.9648669275234943,-0.06764581997258881,0.05164911519192673,-1.3097188542575948,0,0,cbc349a567602b5f84dbe496fabbf2e1be8ada016fc539ea620441ff1d4f73d2
INTC,recorded feed,call,9800,256,2.3766964011804603,2.3806050544316255,0.034713728029172226,0.00515635571409961,6.732221350488007,"[5.2297268943308675, 8.829844600296529]",37862783,26436729,9.64191281385433,0.1766082645589269,0.07381700196999248,1.0549687744483829,0.9727808941041755,0.00390865325116484,0.011712918955287836,0.3337044562577004,0,0,32b856f3c5c1d3f0303e83b803484bfaf9e5d1a7b3b04772a398cd228ac2f0f0
INTC,recorded feed,call,10000,256,0.8669876014875795,0.865651609617089,0.016611133521708094,0.010384864210472923,1.5995523085372754,"[1.2399634778140918, 2.0596025727851086]",37862783,26436729,2.290884850213349,0.12832972650890478,0.10270519868482525,1.0043205886501554,0.9922200165437295,-0.001335991870490513,0.008385731945676293,-0.1593172640319554,0,0,32b856f3c5c1d3f0303e83b803484bfaf9e5d1a7b3b04772a398cd228ac2f0f0
INTC,recorded feed,call,10200,256,0.21796249124524877,0.21456979359761674,0.005806405725884178,0.005012040119026484,1.158491470138509,"[0.8742816977569684, 1.5079462444867338]",37862783,26436729,1.6591958536627334,0.07536757165715703,0.07306629893785378,1.0110419299499742,0.9689249962682052,-0.003392697647632021,0.004994088096612363,-0.6793427712925985,0,0,32b856f3c5c1d3f0303e83b803484bfaf9e5d1a7b3b04772a398cd228ac2f0f0
INTC,recorded feed,put,9800,256,0.20911237207174313,0.2005707928566876,0.0058207882438864695,0.003999479845847414,1.455386317280755,"[1.0729115433437832, 2.0438774243930378]",37862783,26436729,2.0844097737042424,0.0735888351441515,0.06567218152907815,1.036761763408749,0.962986753562163,-0.008541579215055514,0.004777487241416264,-1.787881114785228,0,0,32b856f3c5c1d3f0303e83b803484bfaf9e5d1a7b3b04772a398cd228ac2f0f0
INTC,recorded feed,put,10000,256,0.8804035723788621,0.8666173480421513,0.019049240166671724,0.009001761325725102,2.1161681005952784,"[1.7009472394361187, 2.7109884910203927]",37862783,26436729,3.0307839364076092,0.12641901864924904,0.09547723247292306,1.091758077858402,0.9937197580531028,-0.013786224336710881,0.008266237969784061,-1.6677749161231827,0,0,32b856f3c5c1d3f0303e83b803484bfaf9e5d1a7b3b04772a398cd228ac2f0f0
INTC,recorded feed,put,10200,256,2.4123784621365316,2.3965355320226793,0.033828693473884855,0.003894746723487771,8.685723585021991,"[6.887144457274629, 11.229265793522332]",37862783,26436729,12.439726083271108,0.17458194774658262,0.06510623337899431,1.0535211967180786,0.9585550061556212,-0.015842930113852384,0.01152849172365128,-1.3742413572930636,0,0,32b856f3c5c1d3f0303e83b803484bfaf9e5d1a7b3b04772a398cd228ac2f0f0
MSFT,recorded feed,call,9800,256,10.002374957208573,10.017493379606165,0.22500479914938018,0.007751774745111896,29.02623032116141,"[21.17823043109486, 39.51279650827795]",36980176,25556790,42.00038838575132,0.4459880877821169,0.08703161467989426,1.063586048014905,1.0116342656632367,0.015118422397593555,0.029543736628705342,0.5117302048686747,0,0,7fc46705bbacfa9ed21a1dbd552e9aa88959bafd8394c97813aad661c2717a24
